"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 23:34:47 EDT 2024","Thu May 30 23:34:52 EDT 2024","5533","chromium","Heroku.spec.js","","","","Checkboxes",""
"passed","Thu May 30 23:34:47 EDT 2024","Thu May 30 23:34:57 EDT 2024","10378","chromium","Heroku.spec.js","","","","A/B Testing Link",""
"passed","Thu May 30 23:35:26 EDT 2024","Thu May 30 23:35:33 EDT 2024","6286","chromium","Heroku.spec.js","","","","Handling Nested Frames",""
"passed","Thu May 30 23:35:13 EDT 2024","Thu May 30 23:35:40 EDT 2024","27407","chromium","Heroku.spec.js","","","","Key Presses",""
"passed","Thu May 30 23:35:24 EDT 2024","Thu May 30 23:35:26 EDT 2024","2333","chromium","Heroku.spec.js","","","","Handling Frames",""
"passed","Thu May 30 23:35:37 EDT 2024","Thu May 30 23:35:38 EDT 2024","749","chromium","Heroku.spec.js","","","","Handle Confirm Box",""
"failed","Thu May 30 23:35:33 EDT 2024","Thu May 30 23:35:41 EDT 2024","7885","chromium","Heroku.spec.js","","","","Handling Nested Frames-Error",""
"passed","Thu May 30 23:35:23 EDT 2024","Thu May 30 23:35:36 EDT 2024","13755","chromium","Heroku.spec.js","","","","@Web Hover",""
"broken","Thu May 30 23:34:52 EDT 2024","Thu May 30 23:35:22 EDT 2024","30065","chromium","Heroku.spec.js","","","","Disappearing Elements",""
"failed","Thu May 30 23:34:57 EDT 2024","Thu May 30 23:35:24 EDT 2024","26730","chromium","Heroku.spec.js","","","","Dropdown",""
"passed","Thu May 30 23:35:38 EDT 2024","Thu May 30 23:35:44 EDT 2024","5941","chromium","Heroku.spec.js","","","","Handle Prompt Box",""
"passed","Thu May 30 23:34:57 EDT 2024","Thu May 30 23:35:13 EDT 2024","16120","chromium","Heroku.spec.js","","","","Drag and Drop",""
"passed","Thu May 30 23:35:36 EDT 2024","Thu May 30 23:35:37 EDT 2024","811","chromium","Heroku.spec.js","","","","Handle Alert Message",""
"passed","Thu May 30 23:35:39 EDT 2024","Thu May 30 23:35:45 EDT 2024","6560","chromium","Heroku.spec.js","","","","@Web Client App login",""
"passed","Thu May 30 23:35:12 EDT 2024","Thu May 30 23:35:39 EDT 2024","26909","chromium","Heroku.spec.js","","","","@Web Form Authentication",""
"passed","Thu May 30 23:34:47 EDT 2024","Thu May 30 23:35:12 EDT 2024","25423","chromium","Heroku.spec.js","","","","Add/Remove Elements",""
"passed","Thu May 30 23:34:47 EDT 2024","Thu May 30 23:34:57 EDT 2024","10034","chromium","Heroku.spec.js","","","","Verify Url",""
